labels,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
0,0.1875,0.140625,0.00390625,0.005859375,0.1728515625,0.302734375,0.2705078125,0.0068359375,0.8115234375,0.1806640625
0,0.181640625,0.2236328125,0.177734375,0.0078125,0.1591796875,0.2978515625,0.3271484375,0.01171875,0.8134765625,0.177734375
0,0.2001953125,0.1748046875,0.1982421875,0.0205078125,0.14453125,0.328125,0.3095703125,0.041015625,0.7880859375,0.208984375
0,0.001953125,0.001953125,0.0009765625,0.0,0.0,0.2578125,0.296875,0.0,0.46484375,0.1748046875
0,0.146484375,0.21875,0.146484375,0.00390625,0.16015625,0.296875,0.298828125,0.0048828125,0.8232421875,0.169921875
0,0.126953125,0.13671875,0.1259765625,0.0029296875,0.115234375,0.30859375,0.2802734375,0.0029296875,0.798828125,0.193359375
0,0.1650390625,0.18359375,0.1669921875,0.03125,0.1181640625,0.3173828125,0.2900390625,0.0556640625,0.7880859375,0.19921875
0,0.1484375,0.14453125,0.1455078125,0.015625,0.1123046875,0.3056640625,0.2783203125,0.021484375,0.7705078125,0.21875
0,0.0,0.00390625,0.001953125,0.0009765625,0.0,0.2333984375,0.263671875,0.0,0.423828125,0.216796875
0,0.001953125,0.001953125,0.0009765625,0.0,0.0,0.2392578125,0.279296875,0.0,0.4462890625,0.181640625
0,0.1513671875,0.197265625,0.15234375,0.0087890625,0.134765625,0.2919921875,0.3115234375,0.015625,0.7578125,0.2353515625
0,0.0009765625,0.001953125,0.0,0.00390625,0.0,0.2685546875,0.2880859375,0.0,0.4306640625,0.2060546875
0,0.1611328125,0.1435546875,0.16015625,0.0205078125,0.1162109375,0.3125,0.2919921875,0.0263671875,0.75,0.240234375
0,0.0009765625,0.0029296875,0.0009765625,0.0009765625,0.0009765625,0.234375,0.2646484375,0.0,0.416015625,0.2333984375
0,0.0,0.00390625,0.0,0.001953125,0.0,0.234375,0.2529296875,0.0009765625,0.4345703125,0.2294921875
0,0.0029296875,0.001953125,0.0009765625,0.0009765625,0.0,0.263671875,0.275390625,0.0,0.4541015625,0.1953125
0,0.16015625,0.189453125,0.158203125,0.1884765625,0.03515625,0.2861328125,0.3173828125,0.22265625,0.796875,0.1982421875
0,0.1689453125,0.1513671875,0.169921875,0.00390625,0.1591796875,0.3037109375,0.2841796875,0.00390625,0.8125,0.181640625
0,0.1953125,0.1357421875,0.0029296875,0.0029296875,0.138671875,0.328125,0.2724609375,0.001953125,0.810546875,0.1826171875
0,0.0009765625,0.0048828125,0.0,0.001953125,0.0,0.2578125,0.27734375,0.0,0.43359375,0.2001953125
0,0.1513671875,0.1435546875,0.00390625,0.00390625,0.125,0.30078125,0.2861328125,0.00390625,0.822265625,0.1728515625
0,0.1669921875,0.173828125,0.0048828125,0.0087890625,0.126953125,0.3330078125,0.265625,0.0068359375,0.76953125,0.216796875
0,0.19140625,0.2001953125,0.1953125,0.0,0.140625,0.3212890625,0.3251953125,0.0009765625,0.8212890625,0.1728515625
0,0.166015625,0.173828125,0.166015625,0.001953125,0.126953125,0.3095703125,0.287109375,0.001953125,0.8203125,0.1728515625
0,0.1982421875,0.1513671875,0.201171875,0.01953125,0.1806640625,0.353515625,0.26953125,0.02734375,0.814453125,0.1796875
0,0.1884765625,0.1826171875,0.1884765625,0.0234375,0.15234375,0.3203125,0.2890625,0.03515625,0.826171875,0.1669921875
0,0.1865234375,0.1796875,0.1875,0.0244140625,0.166015625,0.33203125,0.275390625,0.0400390625,0.8251953125,0.169921875
0,0.0,0.0048828125,0.001953125,0.0009765625,0.0,0.2373046875,0.267578125,0.0,0.423828125,0.2255859375
0,0.1630859375,0.0009765625,0.0078125,0.0,0.013671875,0.2822265625,0.298828125,0.0009765625,0.853515625,0.1455078125
0,0.15625,0.142578125,0.1552734375,0.025390625,0.1201171875,0.3056640625,0.3046875,0.0361328125,0.7705078125,0.2255859375
0,0.1513671875,0.1318359375,0.1513671875,0.001953125,0.12890625,0.3271484375,0.2841796875,0.001953125,0.75390625,0.23828125
0,0.1748046875,0.17578125,0.169921875,0.0048828125,0.16796875,0.3193359375,0.2705078125,0.0068359375,0.7958984375,0.201171875
0,0.1787109375,0.1552734375,0.1787109375,0.00390625,0.146484375,0.3232421875,0.2822265625,0.0068359375,0.8037109375,0.193359375
0,0.189453125,0.1953125,0.189453125,0.0224609375,0.1484375,0.318359375,0.310546875,0.0419921875,0.7958984375,0.203125
0,0.1767578125,0.126953125,0.18359375,0.0009765625,0.1494140625,0.3330078125,0.2841796875,0.0009765625,0.8076171875,0.1865234375
0,0.1572265625,0.1474609375,0.158203125,0.0078125,0.1298828125,0.310546875,0.298828125,0.0068359375,0.7783203125,0.220703125
0,0.0,0.00390625,0.0029296875,0.0,0.0,0.2470703125,0.259765625,0.0,0.4384765625,0.1728515625
0,0.17578125,0.154296875,0.1748046875,0.0029296875,0.134765625,0.3232421875,0.2666015625,0.001953125,0.8154296875,0.1796875
0,0.0,0.0009765625,0.001953125,0.0009765625,0.0,0.2177734375,0.2607421875,0.0,0.443359375,0.2158203125
0,0.1298828125,0.208984375,0.1181640625,0.005859375,0.140625,0.2841796875,0.3212890625,0.009765625,0.8349609375,0.162109375
0,0.1845703125,0.169921875,0.1845703125,0.0029296875,0.162109375,0.3154296875,0.271484375,0.001953125,0.8310546875,0.166015625
